FID;osm_id;name
france_hiking_foot_routes_line.9884352;9884352;Refugis del Torb
france_hiking_foot_routes_line.9883155;9883155;Chapelle Notre-Dame-du-Verdon
france_hiking_foot_routes_line.9883154;9883154;Coteau Chiron
france_hiking_foot_routes_line.9882161;9882161;Boucle de Figuerolles
france_hiking_foot_routes_line.9881661;9881661;Fort Saint-André & Croix de Pretin
france_hiking_foot_routes_line.9880645;9880645;Maussane-les-Alpilles vers les Baux-de-Provence
france_hiking_foot_routes_line.9880060;9880060;
france_hiking_foot_routes_line.9879905;9879905;Circuit du Défens
france_hiking_foot_routes_line.9875839;9875839;De la Vilaine aux Demoiselles
france_hiking_foot_routes_line.9873729;9873729;Chemin de l'Eau
france_hiking_foot_routes_line.9873510;9873510;el Gran Bucle
france_hiking_foot_routes_line.9868069;9868069;La Sente du Noroît
france_hiking_foot_routes_line.9867853;9867853;Vestiges Militaires
france_hiking_foot_routes_line.9866419;9866419;Les carrières de pierre de La Couronne
france_hiking_foot_routes_line.9866178;9866178;Boucle de Boumandariel
france_hiking_foot_routes_line.9865898;9865898;Sentier botanique de la plaine de Carro
france_hiking_foot_routes_line.9865187;9865187;Circuit de La Touche
france_hiking_foot_routes_line.9865186;9865186;Circuit de l'Orson
france_hiking_foot_routes_line.9859319;9859319;Le Cap Couronne
france_hiking_foot_routes_line.9859312;9859312;Les chênes de Coutach
france_hiking_foot_routes_line.9859075;9859075;Sentier botanique Roselière
france_hiking_foot_routes_line.9858786;9858786;Mer et Pinéde Valapoux
france_hiking_foot_routes_line.9854725;9854725;circuit Èvre et Loire
france_hiking_foot_routes_line.9853891;9853891;"Boucle ""Notre-Dame-du-Rouet et la plaine du Bon Jean"""
france_hiking_foot_routes_line.9853478;9853478;La calanque des Eaux Salées
france_hiking_foot_routes_line.9853466;9853466;Camins de l'exili
france_hiking_foot_routes_line.9850971;9850971;
france_hiking_foot_routes_line.9850970;9850970;Génat-Lapege
france_hiking_foot_routes_line.9850969;9850969;Chemin de Génat
france_hiking_foot_routes_line.9849960;9849960;Le Vallon de Jaume par les Grottes
france_hiking_foot_routes_line.9849619;9849619;L'Abbaye de Grâce-Dieu
france_hiking_foot_routes_line.9849582;9849582;Sentier des Crêtes
france_hiking_foot_routes_line.9849500;9849500;Les Mondreveaux
france_hiking_foot_routes_line.9849447;9849447;Mont Dommage
france_hiking_foot_routes_line.9849328;9849328;Circuit des Landes et Tourbières
france_hiking_foot_routes_line.9848967;9848967;Le Tour du Romaron
france_hiking_foot_routes_line.9848848;9848848;Entre calanques et collines
france_hiking_foot_routes_line.9848267;9848267;Le Sous-Buen
france_hiking_foot_routes_line.9848262;9848262;La Croix de Châtard
france_hiking_foot_routes_line.9847166;9847166;Grand Vallat - Littoral
france_hiking_foot_routes_line.9846944;9846944;Boucle des Bourgailles Caucarières
france_hiking_foot_routes_line.9846865;9846865;
france_hiking_foot_routes_line.9844195;9844195;Grand Sentier de la Côte Bleue
france_hiking_foot_routes_line.9838600;9838600;Entre ville et nature (Istres)
france_hiking_foot_routes_line.9831401;9831401;Sentiers des Poissonniers
france_hiking_foot_routes_line.9831315;9831315;Sentier du Fartz
france_hiking_foot_routes_line.9824827;9824827;Circuit de la Plousière
france_hiking_foot_routes_line.9823427;9823427;
france_hiking_foot_routes_line.9820254;9820254;Boucle des Grands Ubacs
france_hiking_foot_routes_line.9820253;9820253;Boucle du Château de Ners
france_hiking_foot_routes_line.9820252;9820252;Boucle de l'Etoile
france_hiking_foot_routes_line.9820249;9820249;Boucle de la Bastidonne
france_hiking_foot_routes_line.9820164;9820164;Boucle des Bergers
france_hiking_foot_routes_line.9819865;9819865;Promenade du Layon
france_hiking_foot_routes_line.9817718;9817718;Circuit de la Boutière
france_hiking_foot_routes_line.9815818;9815818;Sentier des Richets
france_hiking_foot_routes_line.9812168;9812168;Sentier Les Voyettes
france_hiking_foot_routes_line.9811858;9811858;Sentier Le Rendal
france_hiking_foot_routes_line.9810742;9810742;Circuit de découverte de l'étang
france_hiking_foot_routes_line.9802201;9802201;Sentier de découverte de la ferme du Parcot
france_hiking_foot_routes_line.9798226;9798226;Les Martys
france_hiking_foot_routes_line.9796683;9796683;Penn ar pont - L'Aulne canalisée
france_hiking_foot_routes_line.9795295;9795295;Les Terrasses du Pech de Foix
france_hiking_foot_routes_line.9794782;9794782;Tour de l'Étang de Careil
france_hiking_foot_routes_line.9772237;9772237;Via Alpina Red R142
france_hiking_foot_routes_line.9772182;9772182;Via Alpina Red R144
france_hiking_foot_routes_line.9772139;9772139;Via Alpina Red R145
france_hiking_foot_routes_line.9772127;9772127;Via Alpina Red R146
france_hiking_foot_routes_line.9772122;9772122;Via Alpina Red R147
france_hiking_foot_routes_line.9772066;9772066;Via Alpina Red R148
france_hiking_foot_routes_line.9771883;9771883;Via Alpina Red R149
france_hiking_foot_routes_line.9769052;9769052;GR 130 IJzer Wintervariant Roesbrugge
france_hiking_foot_routes_line.9764591;9764591;Les mas de Lugagnac
france_hiking_foot_routes_line.9741620;9741620;
france_hiking_foot_routes_line.9741517;9741517;
france_hiking_foot_routes_line.9735819;9735819;Boucle de Landiras nº 2 : boucle locale
france_hiking_foot_routes_line.9734916;9734916;GR 11.5 Senda Pirenaica variante 5
france_hiking_foot_routes_line.9731557;9731557;Chemin de la Crossette
